Data;País;Status;IQA;
30/03/2023;Kenya;Moderado;77;
30/03/2023;Kosovo;Bom;29;
30/03/2023;Kuwait;Moderado;65;
30/03/2023;Kyrgyzstan;Moderado;90;
30/03/2023;Laos;Insalubre;188;
30/03/2023;Latvia;Bom;50;
30/03/2023;Lebanon;Moderado;51;
30/03/2023;Liechtenstein;Bom;28;
30/03/2023;Lithuania;Bom;23;
30/03/2023;Luxembourg;Bom;27;
30/03/2023;Macao;Moderado;55;
30/03/2023;Macedonia;Insalubre para grupos sensíveis;105;
30/03/2023;Madagascar;Bom;37;
30/03/2023;Malaysia;Moderado;63;
30/03/2023;Malta;Bon;30;
30/03/2023;Martinique;Bom;18;
30/03/2023;Mexico;Insalubre;156;
30/03/2023;Moldova;Bom;43;
30/03/2023;Monaco;Bom;23;
30/03/2023;Mongolia;Moderado;88;
30/03/2023;Montenegro;Moderado;62;
30/03/2023;Myanmar;Muito insalubre;298;
30/03/2023;Nepal;Insalubre;173;
30/03/2023;Netherlands;Bom;50;
30/03/2023;New Caledonia;Bom;27;
30/03/2023;New Zealand;Bom;24;
30/03/2023;Nigeria;Moderado;74;
30/03/2023;Norway;Moderado;53;
30/03/2023;Pakistan;Moderado;66;
30/03/2023;Palestinian Territory;Bom;36;
30/03/2023;Peru;Bom;46;
30/03/2023;Philippines;Moderado;52;
30/03/2023;Poland;Moderado;91;
30/03/2023;Portugal;Bom;26;
30/03/2023;Puerto Rico;Bom;5;
30/03/2023;Qatar;Moderado;82;
30/03/2023;Reunion;Bom;10;
30/03/2023;Romania;Insalubre para grupos sensíveis;134;
30/03/2023;Russia;Moderado;60;
30/03/2023;San Marino;Bom;40;
30/03/2023;Saudi Arabia;Insalubre para grupos sensíveis;102;
30/03/2023;Senegal;Moderado;51;
30/03/2023;Serbia;Insalubre;162;
30/03/2023;Singapore;Bomm;46;
30/03/2023;Slovakia;Moderado;69;
30/03/2023;Slovenia;Bom;34;
30/03/2023;South Africa;Insalubre para grupos sensíveis;117;
30/03/2023;South Korea;Insalubre;163;
30/03/2023;Spain;Moderado;72;
30/03/2023;Sri Lanka;Moderado;55;
30/03/2023;Sudan;Insalubre;160;
30/03/2023;Sweden;Bom;44;
30/03/2023;Switzerland;Bom;31;
30/03/2023;Taiwan;Moderado;95;
30/03/2023;Tajikistan;Moderado;77;
30/03/2023;Thailand;Perigoso;380;
30/03/2023;Togo;Moderado;92;
30/03/2023;Trinidad and Tobago;Bom;48;
30/03/2023;Turkey;Moderado;89;
30/03/2023;Turkmenistan;Bom;46;
30/03/2023;Uganda;Insalubre para grupos sensíveis;125;
30/03/2023;Ukraine;Insalubre para grupos sensíveis;117;
30/03/2023;United Arab Emirates;Moderado;55;
30/03/2023;United Kingdom of Great Britain and Northern Ireland;Moderado;64;
30/03/2023;United States of America;Moderado;87;
30/03/2023;Uzbekistan;Moderado;81;
30/03/2023;Vatican;Bom;50;
30/03/2023;Venezuela;Bom;8;
30/03/2023;Vietnam;Insalubre para grupos sencíveis;150;
30/03/2023;Zambia;Bom;21;
06/04/2023;Albania;Moderado;66;
06/04/2023;Algeria;Moderado;55;
06/04/2023;Andorra;Bom;19;
06/04/2023;Angola;Moderado;66;
06/04/2023;Argentina;Bom;18;
06/04/2023;Armenia;Bom;42;
06/04/2023;Australia;Moderado;66;
06/04/2023;Austria;Moderado;56;
06/04/2023;Azerbaijan;Bom;44;
06/04/2023;Bahrain;Moderado;93;
06/04/2023;Bangladesh;Insalubre para grupos sensíveis;135;
06/04/2023;Belarus;Moderado;61;
06/04/2023;Belgium;Moderado;84;
06/04/2023;Belize;Bom;23;
06/04/2023;Bermuda;Bom;15;
06/04/2023;Bolivia;Bom;4;
06/04/2023;Bosnia and Herzegovina;Moderado;87;
06/04/2023;Brazil;Moderado;59;
06/04/2023;Brunei;Bom;13;
06/04/2023;Bulgaria;Bom;20;
06/04/2023;Burkina Faso;Perigoso;304;
06/04/2023;Cambodia;Moderado;65;
06/04/2023;Canada;Moderado;66;
06/04/2023;Cape Verde;Bom;27;
06/04/2023;Cayman Islands;Moderado;62;
06/04/2023;Central African Republic;Insalubre para grupos sencíveis;139;
06/04/2023;Chad;Insalubre;172;
06/04/2023;Chile;Moderado;72;
06/04/2023;China;Perigoso;325;
06/04/2023;Colombia;Moderado;92;
06/04/2023;Costa Rica;Bom;17;
06/04/2023;Croatia;Bom;47;
06/04/2023;Cyprus;Moderado;55;
06/04/2023;Czech Republic;Insalubre para grupos sensíveis;131;
06/04/2023;Denmark;Bom;27;
06/04/2023;Dominican Republic;Bom;20;
06/04/2023;Ecuador;Bom;23;
06/04/2023;Egypt;Bom;38;
06/04/2023;El Salvador;Moderado;80;
06/04/2023;Estonia;Bom;30;
06/04/2023;Ethiopia;Moderado;93;
06/04/2023;Finland;Moderado;69;
06/04/2023;France;Moderado;82;
06/04/2023;French Guiana;Moderado;100;
06/04/2023;Gabon;Moderrado;54;
06/04/2023;Georgia;Moderado;61;
06/04/2023;Germany;Moderado;74;
06/04/2023;Ghana;Moderado;56;
06/04/2023;Gibraltar;Bom;40;
06/04/2023;Greece;Moderado;55;
06/04/2023;Grenada;Bom;40;
06/04/2023;Guadeloupe;Bom;18;
06/04/2023;Guam;Bom;2;
06/04/2023;Guatemala;Insalubre para grupos sensíveis;131;
06/04/2023;Honduras;Insalubre para grupos sensíveis;141;
06/04/2023;Hong Kong;Moderado;62;
06/04/2023;Iceland;Bom;13;
06/04/2023;India;Insalubre;174;
06/04/2023;Indonesia;Moderado;80;
06/04/2023;Iran;Insalubre para grupos sensíveis;118;
06/04/2023;Iraq;Insalubre para grupos sensíveis;112;
06/04/2023;Ireland;Bom;27;
06/04/2023;Israel;Moderado;77;
06/04/2023;Italy;Moderado;69;
06/04/2023;Ivory Coast;Bom;50;
06/04/2023;Japan;Moderado;80;
06/04/2023;Jersey;Moderado;53;
06/04/2023;Jordan;Bom;22;
06/04/2023;Kazakhstan;Moderado;84;
06/04/2023;Kenya;Bom;43;
06/04/2023;Kosovo;Moderado;59;
06/04/2023;Kuwait;Moderado;95;
06/04/2023;Kyrgyzstan;Moderado;61;
06/04/2023;Laos;Muito insalubre;280;
06/04/2023;Latvia;Bom;33;
06/04/2023;Lebanon;Moderado;53;
06/04/2023;Liberia;Moderado;93;
06/04/2023;Liechtenstein;Bom;17;
06/04/2023;Lithuania;Bom;21;
06/04/2023;Luxembourg;Moderado;56;
06/04/2023;Macao;Moderado;63;
06/04/2023;Macedonia;Moderado;65;
06/04/2023;Madagascar;Moderado;75;
06/04/2023;Malaysia;Moderado;67;
06/04/2023;Malta;Bom;32;
06/04/2023;Martinique;Bom;44;
06/04/2023;Mexico;Insalubre para grupos sensíveis;130;
06/04/2023;Moldova;Bom;20;
06/04/2023;Monaco;Bom;33;
06/04/2023;Mongolia;Moderado;77;
06/04/2023;Montenegro;Moderado;51;
06/04/2023;Myanmar;Perigoso;345;
06/04/2023;Nepal;Moderado;91;
06/04/2023;Netherlands;Moderado;85;
06/04/2023;New Caledonia;Bom;23;
06/04/2023;New Zealand;Bom;27;
06/04/2023;Nigeria;Moderado;99;
06/04/2023;Norway;Bom;21;
06/04/2023;Pakistan;Moderado;66;
06/04/2023;Palestinian Territory;Moderado;52;
06/04/2023;Peru;Bom;47;
06/04/2023;Philippines;Bom;33;
06/04/2023;Poland;Insalubre para grupos sensíveis;132;
06/04/2023;Portugal;Bom;33;
06/04/2023;Puerto Rico;Bom;3;
06/04/2023;Qatar;Moderado;66;
06/04/2023;Reunion;Bom;14;
06/04/2023;Romania;Moderado;89;
06/04/2023;Russia;Moderado;70;
06/04/2023;San Marino;Bom;38;
06/04/2023;Saudi Arabia;Moderado;81;
06/04/2023;Senegal;Moderado;51;
06/04/2023;Serbia;Insalubre para grupos sensíveis;143;
06/04/2023;Singapore;Bom;46;
06/04/2023;Slovakia;Moderado;68;
06/04/2023;Slovenia;Moderado;68;
06/04/2023;South Africa;Moderado;84;
06/04/2023;South Korea;Muito insalubre;271;
06/04/2023;Spain;Moderado;71;
06/04/2023;Sri Lanka;Bom;44;
06/04/2023;Sudan;Insalubre para grupos sensíveis;149;
06/04/2023;Sweden;Bom;48;
06/04/2023;Switzerland;Bom;23;
06/04/2023;Taiwan;Moderado;82;
06/04/2023;Tajikistan;Bom;48;
06/04/2023;Thailand;Perigoso;437;
06/04/2023;Togo;Moderado;76;
06/04/2023;Trinidad and Tobago;Moderado;74;
06/04/2023;Turkey;Insalubre para grupos sensíveis;113;
06/04/2023;Turkmenistan;Moderado;70;
06/04/2023;Uganda;Moderado;98;
06/04/2023;Ukraine;Moderado;71;
06/04/2023;United Arab Emirates;Moderado;68;
06/04/2023;United Kingdom of Great Britain and Northern Ireland;Moderado;64;
06/04/2023;United States of America;Moderado;86;
06/04/2023;Uzbekistan;Bom;25;
06/04/2023;Vatican;Bom;38;
06/04/2023;Venezuela;Bom;40;
06/04/2023;Vietnam;Imsalubre;155;
06/04/2023;Zambia;Moderrado;70;
13/04/2023;Albania;Bom;16;
13/04/2023;Algeria;Moderado;55;
13/04/2023;Andorra;Bom;16;
13/04/2023;Angola;Moderado;59;
13/04/2023;Argentina;Bom;15;
13/04/2023;Armenia;Bom;21;
13/04/2023;Australia;Bom;46;
13/04/2023;Austria;Bom;18;
13/04/2023;Azerbaijan;Moderado;57;
13/04/2023;Bahrain;Moderado;87;
13/04/2023;Bangladesh;Insalubre;164;
13/04/2023;Belarus;Moderado;56;
13/04/2023;Belgium;Bom;28;
13/04/2023;Belize;Bom;38;
13/04/2023;Bermuda;Bom;9;
13/04/2023;Bolivia;Bom;8;
13/04/2023;Bosnia and Herzegovina;Moderado;63;
13/04/2023;Brazil;Moderado;58;
13/04/2023;Brunei;Bom;17;
13/04/2023;Bulgaria;Bom;24;
13/04/2023;Burkina Faso;Perigoso;326;
13/04/2023;Cambodia;Insalubre para grupos sensíveis;115;
13/04/2023;Canada;Moderado;63;
13/04/2023;Cape Verde;Moderado;73;
13/04/2023;Cayman Islands;Bom;29;
13/04/2023;Central African Republic;Insalubre para grupos sensíveis;142;
13/04/2023;Chad;Perigoso;420;
13/04/2023;Chile;Moderado;98;
13/04/2023;China;Perigoso;560;
13/04/2023;Colombia;Moderado;80;
13/04/2023;Costa Rica;Bom;25;
13/04/2023;Croatia;Moderado;61;
13/04/2023;Cyprus;Bom;40;
13/04/2023;Czech Republic;Moderado;81;
13/04/2023;Denmark;Bom;23;
13/04/2023;Dominican Republic;Moderado;56;
13/04/2023;Ecuador;Moderado;52;
13/04/2023;Egypt;Moderado;56;
13/04/2023;El Salvador;Moderado;96;
13/04/2023;Estonia;Bom;34;
13/04/2023;Ethiopia;Moderado;95;
13/04/2023;Finland;Moderado;63;
13/04/2023;France;Bom;45;
13/04/2023;French Guiana;Bom;16;
13/04/2023;Gabon;Moderado;62;
13/04/2023;Georgia;Moderado;79;
13/04/2023;Germany;Bom;41;
13/04/2023;Ghana;Moderado;67;
13/04/2023;Gibraltar;Bom;17;
13/04/2023;Greece;Moderado;54;
13/04/2023;Grenada;Bom;8;
13/04/2023;Guadeloupe;Bom;12;
13/04/2023;Guam;Bom;4;
13/04/2023;Guatemala;Moderado;99;
13/04/2023;Honduras;Insalubre;179;
13/04/2023;Hong Kong;Moderado;82;
13/04/2023;Iceland;Bom;12;
13/04/2023;India;Muito insalubre;231;
13/04/2023;Indonesia;Moderado;75;
13/04/2023;Iran;Insalubre para grupos sensíveis;123;
13/04/2023;Iraq;Moderado;82;
13/04/2023;Ireland;Bom;31;
13/04/2023;Israel;Moderado;52;
13/04/2023;Italy;Moderado;59;
13/04/2023;Ivory Coast;Insalubre para grupos sensíveis;107;
13/04/2023;Japan;Insalubre para grupos sensíveis;118;
13/04/2023;Jersey;Bom;22;
13/04/2023;Jordan;Bom;25;
13/04/2023;Kazakhstan;Moderado;79;
13/04/2023;Kenya;Insalubre para grupos sensíveis;101;
13/04/2023;Kosovo;Bom;37;
13/04/2023;Kuwait;Insalubre para grupos sensíveis;111;
13/04/2023;Kyrgyzstan;Bom;48;
13/04/2023;Laos;Muito insalubre;205;
13/04/2023;Latvia;Moderado;53;
13/04/2023;Lebanon;Moderado;60;
13/04/2023;Liberia;Bom;40;
13/04/2023;Liechtenstein;Bom;4;
13/04/2023;Lithuania;Bom;30;
13/04/2023;Luxembourg;Bom;27;
13/04/2023;Macao;Moderado;80;
13/04/2023;Macedonia;Moderado;69;
13/04/2023;Madagascar;Moderado;67;
13/04/2023;Malaysia;Moderado;99;
13/04/2023;Malta;Moderado;54;
13/04/2023;Martinique;Bom;20;
13/04/2023;Mexico;Insalubre para grupos sensíveis;127;
13/04/2023;Moldova;Bom;33;
13/04/2023;Monaco;Bom;24;
13/04/2023;Mongolia;Moderado;75;
13/04/2023;Montenegro;Moderado;68;
13/04/2023;Myanmar;Perigoso;306;
13/04/2023;Nepal;Insalubre;200;
13/04/2023;Netherlands;Bom;31;
13/04/2023;New Caledonia;Bom;22;
13/04/2023;New Zealand;Bom;16;
13/04/2023;Nigeria;Imsalubre para grupos sensíveis;110;
13/04/2023;Norway;Moderado;56;
13/04/2023;Pakistan;Moderado;98;
13/04/2023;Palestinian Territory;Bom;31;
13/04/2023;Peru;Bom;47;
13/04/2023;Philippines;Moderado;98;
13/04/2023;Poland;Insalubre para grupos sensíveis;103;
13/04/2023;Portugal;Bom;30;
13/04/2023;Puerto Rico;Bom;10;
13/04/2023;Qatar;Moderado;77;
13/04/2023;Reunion;Bom;12;
13/04/2023;Romania;Moderado;94;
13/04/2023;Russia;Moderado;96;
13/04/2023;San Marino;Bom;39;
13/04/2023;Saudi Arabia;Moderado;88;
13/04/2023;Senegal;Bom;39;
13/04/2023;Serbia;Insalubre para grupos sensíveis;102;
13/04/2023;Singapore;Moderado;86;
13/04/2023;Slovakia;Moderado;63;
13/04/2023;Slovenia;Moderado;53;
13/04/2023;South Africa;Insalubre para grupos sensíveis;117;
13/04/2023;South Korea;Insalubre para grupos sensíveis;149;
13/04/2023;Spain;Moderado;92;
13/04/2023;Sri Lanka;Insalubre para grupos sensíveis;101;
13/04/2023;Sudan;Insalubre;182;
13/04/2023;Sweden;Moderado;57;
13/04/2023;Switzerland;Bom;27;
13/04/2023;Taiwan;Insalubre para grupos sensíveis;133;
13/04/2023;Tajikistan;Moderado;70;
13/04/2023;Thailand;Muito insalubre;300;
13/04/2023;Togo;Insalubre para grupos sensíveis;129;
13/04/2023;Trinidad and Tobago;Bom;28;
13/04/2023;Turkey;Moderado;83;
13/04/2023;Turkmenistan;Insalubre para grupos sensíveis;129;
13/04/2023;Uganda;Moderado;72;
13/04/2023;Ukraine;Moderado;77;
13/04/2023;United Arab Emirates;Insalubre;194;
13/04/2023;United Kingdom of Great Britain and Northern Ireland;Bom;44;
13/04/2023;United States of America;Insalubre para grupos sensíveis;123;
13/04/2023;Uzbekistan;Bom;44;
13/04/2023;Vatican;Bom;46;
